Timestamp,Velocidade linear,Velocidade angular
1710333197.4311574,0.0477349053025245,-0.0601743849791433
1710333197.6375012,0.02619325491786,0.3688247233833819
1710333197.8434167,0.0197180673480033,0.550977244802689
1710333198.0445242,0.0570344086289405,0.3795341403315215
1710333198.2448168,0.0306463220715522,0.6261627510428702
1710333198.4482758,0.0669624685943126,0.4217940099724916
1710333198.6485493,0.0064354403614997,-0.2543436226091887
1710333198.8488286,0.0208091323971748,0.7538077743975468
1710333199.0562327,0.0434504611194133,0.5699299873967465
1710333199.2602928,0.0516795071661472,0.2836172976264691
1710333200.2788243,0.0835952281057834,0.5757941727780096
1710333200.4794197,0.1434227979183197,-0.0069423278354671
1710333200.6798637,0.0089596728086471,0.4934950202226093
1710333200.8855412,0.0948679091334342,0.277624355573676
1710333201.0857935,0.0731591100096702,0.4616276224908894
1710333201.2860787,0.0566096568703651,-0.0213184067531908
1710333201.494846,0.0617194218635559,0.0197979743748016
1710333201.6951396,0.0639320240020752,0.4113511624543563
1710333202.100453,0.0618504848778247,0.3797959296599678
1710333202.3068798,0.0959155969619751,0.1598463800460851
